PLAYER_NAME,PLAYER_ID,TEAM_NAME_x,LOCATION,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency,Season Type,GP_x,W_x,L_x,Logo_URL,DISPLAY_FIRST_LAST_x,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL,DISPLAY_FIRST_LAST_y,POSITION,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT,MIN_y,DEF_RATING,DREB_y,DREB_PCT,STL_y,BLK_y,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Conference,W_rate
AJ Green,1631260,Milwaukee Bucks,AWAY,9.7,1.41,3.11,0.36,1.19,2.78,0.31,0.11,0.11,0.11,0.11,1.04,1.15,0.44,0.19,0.07,0.07,0.07,0.74,0.3,4.11,0.22,3.96,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,AJ Green,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,AJ Green,Guard,Milwaukee Bucks,82,49,33,0.598,3961,115,2850,0.731,558,413,1227,1121,1118,4182,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East,59.75609756
AJ Griffin,1631100,Atlanta Hawks,AWAY,9.13,1.12,3.62,0.26,0.5,2,0.25,0,0,0,0,0.75,0.75,0.12,0.5,0,0.12,0.12,0,0,2.75,-4.75,0.75,Regular Season,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,AJ Griffin,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,AJ Griffin,Forward,Atlanta Hawks,82,36,46,0.439,3971,118.4,2639,0.717,615,369,1367,1121,1363,4402,1,21,21,21,3,27,22,16,16,26,18,12,28,25,East,43.90243902
AJ Lawson,1630639,Dallas Mavericks,AWAY,9.37,1.32,3.16,0.33,0.37,1.37,0.14,0.63,0.84,0.23,0.32,1.05,1.37,0.58,0.47,0.37,0.11,0.32,0.58,0.47,3.63,0.74,3.53,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,AJ Lawson,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,AJ Lawson,Guard,Dallas Mavericks,82,50,32,0.61,3941,114.9,2724,0.711,563,406,1240,1170,1291,4186,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West,60.97560976
Aaron Gordon,203932,Denver Nuggets,AWAY,32.29,5.58,9.58,0.59,0.42,1.94,0.14,2.26,3.52,0.58,1.81,4.39,6.19,3.81,1.55,0.74,0.68,0.61,2.03,3.03,13.84,7.65,18.45,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png,Aaron Gordon,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,Aaron Gordon,Forward,Denver Nuggets,82,57,25,0.695,3941,112.3,2762,0.718,585,456,1301,1086,1109,4128,1,2,2,2,26,8,9,15,21,10,14,8,8,18,West,69.51219512
Aaron Holiday,1628988,Houston Rockets,AWAY,14.13,2.17,4.75,0.36,0.78,2.19,0.26,0.28,0.39,0.11,0.28,1.08,1.36,1.89,0.61,0.36,0.08,0.19,1.67,0.75,5.39,-0.11,5.78,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Aaron Holiday,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,Aaron Holiday,Guard,Houston Rockets,82,41,41,0.5,3971,112.8,2787,0.722,639,375,1221,1130,958,3992,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West,50
Aaron Nesmith,1630174,Indiana Pacers,AWAY,28.29,4.32,9,0.48,2.17,4.93,0.44,1.37,1.83,0.56,0.88,3.27,4.15,1.49,1.02,1.05,0.76,0.73,3.56,1.95,12.17,2.15,13.44,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Aaron Nesmith,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,Aaron Nesmith,Guard-Forward,Indiana Pacers,82,47,35,0.573,3941,117.6,2578,0.7,631,481,1297,1212,1122,4792,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East,57.31707317
Aaron Wiggins,1630598,Oklahoma City Thunder,AWAY,14.66,2.42,4.03,0.55,0.72,1.25,0.46,0.65,0.88,0.24,0.75,1.6,2.35,0.85,0.78,0.57,0.22,0.3,1.08,0.82,6.22,0.55,7.62,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Aaron Wiggins,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,Aaron Wiggins,Guard,Oklahoma City Thunder,82,57,25,0.695,3961,111,2725,0.698,694,538,1211,1258,1025,3852,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West,69.51219512
Adam Flagler,1641745,Oklahoma City Thunder,AWAY,5.5,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Adam Flagler,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,Adam Flagler,Guard,Oklahoma City Thunder,82,57,25,0.695,3961,111,2725,0.698,694,538,1211,1258,1025,3852,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West,69.51219512
Adama Sanogo,1641766,Chicago Bulls,AWAY,7.23,1.67,2.67,0.47,0,0,0,0.67,1,0.22,2.67,1.67,4.33,0,0.67,0,0,0,0,0.67,4,6,6.33,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Adama Sanogo,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png,Adama Sanogo,Forward,Chicago Bulls,82,39,43,0.476,3996,115.7,2677,0.717,638,394,1249,1133,1088,3726,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East,47.56097561
Admiral Schofield,1629678,Orlando Magic,AWAY,3.77,0.62,1.38,0.27,0.38,0.88,0.27,0,0.12,0,0.12,0.56,0.69,0.38,0.25,0.06,0,0.06,0.44,0.12,1.62,-0.94,1.62,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png,Admiral Schofield,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629678.png,Admiral Schofield,Forward,Orlando Magic,82,47,35,0.573,3956,110.8,2608,0.737,669,423,1348,994,1189,3892,1,12,12,12,17,3,25,2,5,13,16,2,19,8,East,57.31707317
